,Impedance,frequency
0,3047.817160209796,0
1,3047.8164540084026,1
2,3047.8143354198005,2
3,3047.8108044907262,3
4,3047.8058612990667,4
5,3047.7995059538466,5
6,3047.791738595217,6
7,3047.782559394435,7
8,3047.771968553837,8
9,3047.7599663068204,9
10,3047.7465529178003,10
11,3047.731728682184,11
12,3047.7154939263223,12
13,3047.6978490074735,13
14,3047.678794313746,14
15,3047.658330264055,15
16,3047.6364573080605,16
17,3047.613175926105,17
18,3047.588486629155,18
19,3047.5623899587245,19
20,3047.5348864868074,20
21,3047.5059768158,21
22,3047.475661578416,22
23,3047.4439414376043,23
24,3047.410817086464,24
25,3047.3762892481386,25
26,3047.340358675736,26
27,3047.303026152212,27
28,3047.264292490277,28
29,3047.224158532282,29
30,3047.1826251501057,30
31,3047.1396932450402,31
32,3047.0953637476714,32
33,3047.049637617754,33
34,3047.002515844084,34
35,3046.9539994443685,35
36,3046.90408946509,36
37,3046.8527869813697,37
38,3046.800093096824,38
39,3046.7460089434217,39
40,3046.69053568133,40
41,3046.633674498768,41
42,3046.5754266118493,42
43,3046.51579326442,43
44,3046.4547757279006,44
45,3046.3923753011177,45
46,3046.3285933101365,46
47,3046.263431108087,47
48,3046.1968900749916,48
49,3046.128971617586,49
50,3046.0596771691344,50
51,3045.98900818925,51
52,3045.9169661637056,52
53,3045.843552604243,53
54,3045.7687690483813,54
55,3045.6926170592205,55
56,3045.615098225241,56
57,3045.536214160104,57
58,3045.4559665024512,58
59,3045.37435691569,59
60,3045.29138708779,60
61,3045.207058731071,61
62,3045.121373581988,62
63,3045.0343334009135,63
64,3044.9459399719212,64
65,3044.8561951025627,65
66,3044.7651006236433,66
67,3044.6726583890018,67
68,3044.578870275275,68
69,3044.483738181675,69
70,3044.3872640297513,70
71,3044.289449763161,71
72,3044.1902973474344,72
73,3044.089808769729,73
74,3043.987986038604,74
75,3043.8848311837646,75
76,3043.780346255831,76
77,3043.674533326086,77
78,3043.567394486233,78
79,3043.458931848147,79
80,3043.349147543628,80
81,3043.2380437241454,81
82,3043.125622560595,82
83,3043.0118862430363,83
84,3042.8968369804425,84
85,3042.780477000449,85
86,3042.6628085490916,86
87,3042.5438338905496,87
88,3042.423555306888,88
89,3042.301975097799,89
90,3042.179095580344,90
91,3042.0549190886827,91
92,3041.929447973823,92
93,3041.802684603349,93
94,3041.6746313611657,94
95,3041.5452906472265,95
96,3041.414664877275,96
97,3041.282756482577,97
98,3041.1495679096574,98
99,3041.0151016200307,99
100,3040.879360089936,100
101,3040.742345810075,101
102,3040.604061285339,102
103,3040.4645090345425,103
104,3040.3236915901625,104
105,3040.1816114980634,105
106,3040.038271317236,106
107,3039.8936736195255,107
108,3039.747820989368,108
109,3039.600716023524,109
110,3039.452361330809,110
111,3039.3027595318254,111
112,3039.1519132587055,112
113,3038.9998251548336,113
114,3038.8464978745906,114
115,3038.69193408308,115
116,3038.5361364558744,116
117,3038.3791076787406,117
118,3038.2208504473815,118
119,3038.0613674671754,119
120,3037.900661452908,120
121,3037.738735128515,121
122,3037.5755912268214,122
123,3037.4112324892817,123
124,3037.245661665718,124
125,3037.078881514063,125
126,3036.910894800108,126
127,3036.741704297237,127
128,3036.571312786182,128
129,3036.3997230547598,129
130,3036.226937897623,130
131,3036.052960116011,131
132,3035.8777925174927,132
133,3035.7014379157204,133
134,3035.5238991301844,134
